Review,Stars
"I gifted this watch to my father and he loved this classic watch 💌 , thanks Myntra",4
"not suitable for everyone, good for office people.
no doubt, watch is good. one thing I received in working condition is it Okay ?",4
Worth it.very nice watch,5
The product is better than I expected ??,5
"Excellent timepiece with a classic design.Liked it very much.For me the dial is perfect,not too small and not too big.Go for it if you like classic watches.",5
"Absolutely amazing watch , minimalist and elegant  design. Looks even better in person.",5
The watch is absolutely amazing but I paid extra money for gift wrapping with customised card that did not came with .....such a big blunder from myntra was not expected.....,3
Very good Quality am happy ??,5
This is an excellent piece of men accesories. Goes well with both formal and casual attires. And comes with the quality and trust of Titan offcourse. Recommended to buy.,5
"Classy and original Titan watch at a very low price

A must buy watch within budget 
It goes very well with formal wear",5
Looks very elegant and quality is superb. Go for it,5
I love it😍,5
My hubby like the product is superb,4
"Value for money, detail quality review will share after some use",4
It looks absolutely stunning. It's good for both casual as well as formal wear. Overall good.,5
"This watch looks premium and feels premium , good for skinny hands , love this watch✌🏾",5
Good product ?,4
Nice quality..but could've put a little more effort in packaging,5
"Good in looks and quality…suits better for small to medium wrist size,packaging is very nice",4
"The watch is very nice... 

But from where I will get the warranty card??",4
Awesome,5
Very good & amazing product 👍,5
"Very nice watch, best at this price. It just gives a very premium feel.",5
Very stylish watch 👌👌👌,5
Looking very awesome has a beautiful shining on it,5
My husband like it so much.... Thankyou myntra,5
"Is watch  is too good 
I purchase for gift 
And  he very  likes",5
The product is worth the price as expected the same was it.,5
Beautiful watch as shown,4
"Terrific purchase for 
Product is as per the expectation 
Go for it",5
Good one can go for it 1500 sufficient price,1
Gifted this product and my friend was happy with the design and sleek look.,5
I loved the product and the way it was delivered in proper condition.,5
good watch in budget from myntra and genuine,4
Osum product??,5
Go for it... very nice❤️❤️❤️❤️❤️,5
Very classy and simple design,5
Best watch in this price. My husband loved it.,5
My Dad liked the product very much... Quality is very good,5
Awesome product I like the watch. Thank you Myntra..,5
"It is a best fit for the skinny people, i loved it!",5
So beautiful…just same as shown in the photos,5
I love this watch. It's like premium look❤️,5
I gifted this watch to my father in law and he loves it,5
Its nice....but Little bit heavy,5
Amazing Watch And Perfect Love itt 🫡,5
Osam watch,4
It's good.,4
Good?,5
Bought it as a gift for my dad. He loved it.,5
Watch locking and her design is so good 😊,5
Gifted this to my brother and he loved it,5
Very good watch my husband likes the ⌚,5
Amazing look also good quality material,5
Bought this for my father. He loved it,5
Best buy in the price segment.,4
The watch looks good and fits good,5
It is a good watch  easily adjusted,5
Perfect gift for someone special,5
"Best in class , worth the price",5
Still using from last 5 yrs,5
Best quality prdct ...,5
"Best product!
True value for money",5
Nice simple.and buetifull.,4
Very nice look and build quality,5
Amazing... classic....,4
Got it as a gift! It's nice!,5
Worth for money ☺️,5
Quality is very nice,5
Perfect watch for formals,5
Nice watch..I like it👌,5
"Awesome, it's a great one",5
Good product  go for it,5
As expexted ❤️❤️,5
Worth it for money 💰,5
Small and perfect size,5
Really nice watch ⌚.,5
Very nice look watch,5
Very bad quality ????,5
Good product,4
nice watch,5
Osm ❤️,5
Awesome watch,5
Nice,4
Nice watch,4
Very  nice watch,5
Amazing watch,5
So beautiful ❤️,5
Awesome...,5
,5
Amazing?,5
Metal is nice & classic,3
Nice quality,5
Verry nice??,5
Good quality ?,5
Orthodox but nice.,5
Worth for money,5
Dial too small for men,3
Good one I like it,4
A perfect watch .,4
Awesome 🥰,4
Good quality watch,5
Great product 👍,5
Classy!,4
Good quality,5
Great product,5
Amazing watches,5
Nice One,4
Very nice watch,5
Very satisfied,5
Very nice watch,5
Nice product,5
Awesome watch,5
It's amazing,5
Nice,4
So wonderful,5
Nice,4
Good looking,5
Must have,5
Good one,5
Like it,5
Good,4
Good quality,5
Nice watch,5
Nice watch,5
Fantastic,5
Good,5
Nice1,5
Okay,5
Good,5
Loved it,5
Amazing,5
Stylish,5
So good,5
Classic,5
,4
Amazing,5
Love it,5
Looking dashing,3
Good,3
Nice,5
Nice,5
Nice,5
Nice,5
Ok,5
Nice,5
Good,5
,5
Size as I wanted,3
Nice watch,3
Average,3
the size was too small as shown in the picture,2
Not good quality as expected and also price is too high compared to quality.  I am not happy with this 2 products . It was waste of money,3
It's fantastic...you can go for it...,1
,1
Its not working,1
Good,3
Ok,3
Packing is at its worst... thry just dumped all the 5 products which I ordered with this product worth of 5500 in a cover without any proper packing of all individual items..... not expected from myntra atleast,1
Time stops automatically and the lock doesn't work properly,1
Good,3
The strap was full of scratches,2
