Review,Stars
"Always in my shoe collection... This is a rough and tough shoes by Sparx... 
Suggestion :- Ek number bada lena ye shoes kyuki ye thoda tight rhta hai..",4
The quality is amazing and soft sole,5
"Best shoes for cricket football hockey & all running games, best grip , best comfort , easy to wear , rubber grip . BEST SHOES UNDER THIS RANGE .",5
"The shoes quality is amazing as it shows in photo , according to my suggestion must buy this shoes and it has very good comfort at this price 👍",5
Your service is good but not give carry bag and product is good condition,4
"quality is nice, the sole is hard as it is supposed to be and the mid sole is soft, and the insole is soft too, ill recommend y'all to go for a size up, my size is 9 and it didn't fit so i exchanged it for a 10 and it fits right on my feet",5
"Awesome. Super comfortable and light weight, soft and cushiony feel. Makes it a perfect pair of sneakers, be it for your fitness wear or for your casual wear. Love it's whiteness. Shiny white it is!",4
"Feels better.
I prefer customer hats up to the shoe maker who had made this product in such a way that one can easily use it for casual, sports etc events.",5
Awesome shoe form spark nd Myntra I love it,4
I recently received a shoes is too low weight ..quality of shoes is too good comfort ness and Good for the Gym workout Thank u myntra …,5
,5
Nice product,4
Awesome quality,5
Awesome 😇.. i really like it very much & also it is very very comfortable shoes .. Thanks Myntra and Sparx too...,5
"Satisfied
Great product
Thanku Myntra",5
"Its worth every rupee, not so comfortable but its okay can wear daily and its goes good with any outfit",5
Product is good but I disappointed with dilevery it's too late but overall product is good so everything is good,5
nice product,4
"I am so happy
This shoes are awesome thank you Myntra for super fast delivery and first class original product",5
Very nice shose,5
"Wow!!! Very good product.    nice packed,  quality product in affordable price  , ... little heavy but good",5
Awesome quality ✌️,5
They are a perfect white shoe and a perfect combination of sports and sneakers type,4
This shoes has good soul and grip but the upper part is little bit smooth but it's good go for it🌲,5
Super excellent shoes... Super comfortable... Myntra Delivery is impressive... Thank you Myntra for this excellent pair...,5
Amazing Fit & comfortable,5
Very sturdy and comfortable sports shoe. I am highly recommending every one to go for it.,5
Best quality and comfortable and light wait 👍👍👍thanks to mantra,5
Shoes are very good in quality but they are lil tight to my husband.,3
"Quality of the product is good.
But should be flexible.",4
not that much comfortable after walking 1or 2 km my fingers starts paining It is only good for parties,3
"It is really worth for money, very comfortable and go with every fit?",5
The size is perfect and similar to the picture given,4
"Comfort while wearing, bounce is good while running.",5
Nice product thanks Mintra,5
"Good product, go for it",4
Perfect shoes in this price range and extremely comfortable,5
Affordable prices and good quality,5
Comfort and good quality for money,4
Very comfortable and so reliable I'm happy it it,5
Alhumdulillah Its tooo good really go for it.,5
"Perfect !,  As expected ?",5
Shoes is very good ?,5
The silhouette of this shoe is just mind-blowing for this price,5
Same quality good??,5
"Definitely, Go For It 
For a Reason.",5
Excellent,5
Craziest thing I ever had Alys recommend,5
It's good replacement for new balance,5
nice product.??,5
Nice,5
Very good quality I am very happy,5
"Worth product, I have ever bought...",5
Great shoes comfortable to wear,5
"Nice product.
Comfortable.",5
Good quality shoes and are comfortable too,5
Go for it. Best in this price range,5
Nice and comfortable,5
Loved the shoes❤️,5
The best purchase from myntra,5
Tough shoes and comfortable,5
Quality is really good.,5
"Best quality
Best Comfert",5
Good and comfortable,5
Left leg shoes not comfortable,2
Not that comfortable soul and padding,3
Nice shoes soo comfortable sole,5
Nice product & Best service.,5
the product was very good,5
Nice,4
Fitting is perfect.,5
Sparx is always best,4
Great to style,4
Good product,4
Very nice product,4
Not comfortable..but  look is fantastic,3
Jussa go for it,4
Nice fitting,4
Beautiful shoe,5
Material is hard otherwise good,3
Good product,4
Gd,4
As expected.,5
nice 1,4
Good,4
Good,4
Nice,4
,4
Very good,4
👌 best,4
Super,4
nice quality,5
😊 good product,5
,4
perfect fitting,5
Very durable show,5
Quality product,5
nice quality,4
,4
Awesome Product,5
Excellent product,5
Comfort sooth,5
Great Shoes!,5
Awesome 😎,5
Nice but used,5
Love them!!!,5
Very good,5
Nice Shoes,5
Good shoes,5
Superb shoe,5
Best shoe!!!,5
Good quality,5
Good quality,5
Five star ⭐,5
Excellent,5
Loved it,5
Awesome,5
Super,5
Good,5
Good shoes,5
Gud product,5
happy 😊,5
Great!,5
Good,5
Love it,5
Good!,5
Best,5
Nice shoes,4
Cool,5
,5
,5
Cook,5
cool,5
Good,4
Good,5
Okayish,3
Nice,3
Ok,3
Not good,2
Great shoes,3
Not comfortable,3
Lack of comfort,3
"It is bad product, it not comfortable in leg. Not satisfied",1
Disgusting product,5
Nice,5
Good,3
Not comfortable,1
Too small,1
Worse site for shopping,1
Ghatiya,1
Nice fit,4
This product not comfortable.front side so narrow .,1
