Review,Stars,Prediction,PredictionProba,PredictionLabel
"I gifted this watch to my father and he loved this classic watch 💌 , thanks Myntra",4,1,0.9233728558659455,OR
"not suitable for everyone, good for office people.
no doubt, watch is good. one thing I received in working condition is it Okay ?",4,1,0.9422602881419994,OR
Worth it.very nice watch,5,1,0.7771044361018317,OR
The product is better than I expected ??,5,1,0.7557937872150479,OR
"Excellent timepiece with a classic design.Liked it very much.For me the dial is perfect,not too small and not too big.Go for it if you like classic watches.",5,1,0.9481402018776319,OR
"Absolutely amazing watch , minimalist and elegant  design. Looks even better in person.",5,1,0.9473258015042493,OR
The watch is absolutely amazing but I paid extra money for gift wrapping with customised card that did not came with .....such a big blunder from myntra was not expected.....,3,1,0.989878967037838,OR
Very good Quality am happy ??,5,0,0.2118029747414947,CG
This is an excellent piece of men accesories. Goes well with both formal and casual attires. And comes with the quality and trust of Titan offcourse. Recommended to buy.,5,1,0.9478133737299353,OR
"Classy and original Titan watch at a very low price

A must buy watch within budget 
It goes very well with formal wear",5,1,0.971545299454206,OR
Looks very elegant and quality is superb. Go for it,5,1,0.7295348275900925,OR
I love it😍,5,1,0.6478814426721087,OR
My hubby like the product is superb,4,1,0.8053607154563351,OR
"Value for money, detail quality review will share after some use",4,1,0.9058818360068205,OR
It looks absolutely stunning. It's good for both casual as well as formal wear. Overall good.,5,1,0.9737061618759664,OR
"This watch looks premium and feels premium , good for skinny hands , love this watch✌🏾",5,1,0.8935248707845714,OR
Good product ?,4,1,0.62467931619717,OR
Nice quality..but could've put a little more effort in packaging,5,1,0.8561603706729309,OR
"Good in looks and quality…suits better for small to medium wrist size,packaging is very nice",4,1,0.8180243917403177,OR
"The watch is very nice... 

But from where I will get the warranty card??",4,1,0.7720954443856215,OR
Awesome,5,1,0.770866906913646,OR
Very good & amazing product 👍,5,1,0.6748147169712755,OR
"Very nice watch, best at this price. It just gives a very premium feel.",5,1,0.9251716849704277,OR
Very stylish watch 👌👌👌,5,1,0.9438983679798212,OR
Looking very awesome has a beautiful shining on it,5,1,0.7206383411552262,OR
My husband like it so much.... Thankyou myntra,5,1,0.9882963373968809,OR
"Is watch  is too good 
I purchase for gift 
And  he very  likes",5,1,0.8908031844008647,OR
The product is worth the price as expected the same was it.,5,1,0.810003010680867,OR
Beautiful watch as shown,4,1,0.9525686298816461,OR
"Terrific purchase for 
Product is as per the expectation 
Go for it",5,1,0.8871332583825523,OR
Good one can go for it 1500 sufficient price,1,1,0.8533496163415353,OR
Gifted this product and my friend was happy with the design and sleek look.,5,1,0.6379149321896748,OR
I loved the product and the way it was delivered in proper condition.,5,1,0.5925512486047569,OR
good watch in budget from myntra and genuine,4,1,0.9364626846706087,OR
Osum product??,5,0,0.4764495162439625,CG
Go for it... very nice❤️❤️❤️❤️❤️,5,1,0.9686378346621247,OR
Very classy and simple design,5,1,0.7849758589416537,OR
Best watch in this price. My husband loved it.,5,1,0.6767128430550754,OR
My Dad liked the product very much... Quality is very good,5,1,0.9302999623858906,OR
Awesome product I like the watch. Thank you Myntra..,5,1,0.9235296125558425,OR
